Title,Prompt,Points,lat lon full,lat,long,numWinners
🛝 Slide down the Seward Street Slides,Cardboard recommended!,30,"37.75787661652611, -122.43987638476217",37.757876616526,-122.439876384762,3
🐶 Learn a dog’s name and breed in the Dogpatch,Fluffers are friends,20,"37.75798544125572, -122.38833287592992",37.757985441256,-122.38833287593,5
🪵 Run down the Lombard’s street lesser known sibling,SF Has two very curvy streets! The other is high atop Potrero Hill,20,"37.75864340993711, -122.4039672743254",37.758643409937,-122.403967274325,5
🪕 Stop by a booth at Valencia Street Sunday Streets,https://sundaystreetssf.com/mission/,10,"37.75924323230703, -122.42089936346143",37.759243232307,-122.420899363461,3
🎴 Flop around like a seal in the sand at Sunset Dunes,Arf arf! Multiple seals encouraged,20,"37.76016592559611, -122.50990717131755",37.760165925596,-122.509907171318,5
🧘🩴 Do Yoga at SF's Sundays at the Beach,https://sf.funcheap.com/sfs-sundays-at-the-beach-free-yoga-day-great-highway-13/ (at 12pm!),40,"37.76032890160175, -122.50917466579907",37.760328901602,-122.509174665799,3
🧙‍♀️💚 Sing a song from Wicked on Kansas St in Potrero Hill,Defy gravity on top of Potrero Hill and dance through life singing a Wicked song,30,"37.76089812399855, -122.40319449089958",37.760898123999,-122.4031944909,5
🗣️ Learn about someone's project at Noisebridge,https://www.noisebridge.net/wiki/Noisebridge,20,"37.76236573483703, -122.41855016367573",37.762365734837,-122.418550163676,3
"🍆 🍒 Get a treat from Hot Cookie ",What you do with your cookies is your business 🍪 👀,10,"37.76241099671278, -122.43499676634956",37.762410996713,-122.43499676635,5
🐦 Pretend to be a crane at crane cove park,Aivant’s sleeper choice for best park! Have your crane person lift up a teammate,10,"37.76329554496669, -122.38733861362655",37.763295544967,-122.387338613627,5
⛰️🌩️ Summit Mount Olympus,Wondering why there is no statue? https://www.sfchronicle.com/totalsf/article/mt-olympus-missing-statue-19664740.php,10,"37.76350341479206, -122.44497288859004",37.763503414792,-122.44497288859,3
🌯 Eat an “original” Mission Style Burrito,https://www.bonappetit.com/restaurants-travel/article/burrito-october-feature,15,"37.76461386509847, -122.42167708942307",37.764613865098,-122.421677089423,3
🏃‍♂️ Do a 101-meter race at Kezar Stadium,To celebrate Aivant’s 101 days of running,20,"37.76701994678264, -122.45577893780552",37.767019946783,-122.455778937806,5
🪙 Play the monthly special at Free Gold Watch,Every month they choose a pinball machine to be 25cents. Find it and play a game!,10,"37.76826179338131, -122.45270288049116",37.768261793381,-122.452702880491,3
⛵️ Re-enact a scene Merchants of Venice in the Shakespeare Garden,"Drew’s favorite Shakespearian play. Break a leg Shylock!  ",10,"37.76877348857399, -122.46703996806421",37.768773488574,-122.467039968064,5
🪦 Leave something at a gravestone at Buena Vista Park,"Think flowers, artwork, or anything sweet!",20,"37.76924307319263, -122.44150069386201",37.769243073193,-122.441500693862,5
♻️ Pick up 5 pieces of litter in Buena Vista Park,"No, litter that you contributed to the park doesn’t count.",10,"37.76924307319263, -122.44150069386201",37.769243073193,-122.441500693862,3
👋 Tutorial Challenge for our Scav Hunt Noobs,Take a video of your team expressing your excitement for the scavenger hunt!,10,"37.76957881357177, -122.43284409180515",37.769578813572,-122.432844091805,20
🪗🎸 Throw an impromptu concert at the music concourse in golden gate park,"If the stage is taken, you can do air instruments within the close vicinity",10,"37.76987930877837, -122.468525481563",37.769879308778,-122.468525481563,3
🎤🦬 Sing a song about Bison to the Bison,"Write a short song about bison, and sing it to them at Golden Gate Park. It better be good, these bison don’t get good radio over here!",20,"37.76988191023677, -122.4982542183008",37.769881910237,-122.498254218301,5
👩‍🎤🏛️ Dance to the music at the concourse in Golden Gate Park,"Featuring https://illuminate.org/artist/maya-bennett/,  https://illuminate.org/artist/middle-dog/,  https://illuminate.org/artist/the-alleylots/,  https://illuminate.org/artist/the-berrios-trio/ at the Golden Gate Bandshell",10,"37.76996752575973, -122.46860072068363",37.76996752576,-122.468600720684,5
🍵 Spill tea and “tea” at the japanese tea garden,"We expect both literal tea and gossip, duh!",10,"37.77021851301567, -122.47045735779619",37.770218513016,-122.470457357796,5
🥏⛳ Score at a disc golf course,Bring a disc or use anything else resembling a disc. Frolfers are known to smoke a joint here too ;),30,"37.77120825714595, -122.48615325524136",37.771208257146,-122.486153255241,3
🥏⛳Get par at disc golf in GGP,Bring a disc or use anything else resembling a disc. Frolfers are known to smoke a joint here too 🚬,10,"37.77120825714595, -122.48615325524136",37.771208257146,-122.486153255241,5
🎹💮 Play a full song at the piano in front of the conservatory of flowers,Play your most technically challenging piano piece so we can differentiate between who was forced into piano lessons and who the piano prodigies are 😂,10,"37.77156957186593, -122.4601617046071",37.771569571866,-122.460161704607,5
❌🩰 Dance in front of the no dancing sign,"Every team member must dance, so ask a stranger to take a video!",10,"37.77226457967715, -122.46415354081107",37.772264579677,-122.464153540811,3
🧸 Find the plushie at a trader joes,Any trader Joes will do,10,"37.77239859202316, -122.37647894603765",37.772398592023,-122.376478946038,5
" 🌉Catch the 4th street draw bridges getting raised",Consider bribing a house boat owner.,30,"37.77499593291317, -122.39239820913546",37.774995932913,-122.392398209135,3
"🏂 🎱 Get a 100 in ski-ball at the Emporium  ","We’ll be SO impressed! ",30,"37.77536955244166, -122.43764964271755",37.775369552442,-122.437649642718,5
👻 Talk with Casper the cockatoo in Hayes Valley,Casper is often seen on his leash around Patricia’s Green,50,"37.77623673285284, -122.42439071747563",37.776236732853,-122.424390717476,5
📚 Check out a book from the top floor of the SF main library,"If no one on your team has an SF library card, one of you guys better register! If no one is an SF resident, move to SF stat! 

Fine fine, if you really can’t check out a book or move to SF, just read the first page of a book",20,"37.77902774729874, -122.41579301324605",37.779027747299,-122.415793013246,3
💒 Congratulate newlyweds in City Hall,Use your judgement on whether they want to talk to strangers :),30,"37.77931178118284, -122.41889028361172",37.779311781183,-122.418890283612,3
❓ Play Waldo and go to the location of the day,https://waldo.tanay.app/,10,"37.78128947023186, -122.37941948491927",37.781289470232,-122.379419484919,5
🛌 Sprawl across a bed within the new(ish) SF IKEA,"Saluhall apparently is delicious as well, you might want to time this with lunch. Take a team video selfie! Snuggling on the bed is always a plus 😉",20,"37.78344417995491, -122.40795330473766",37.783444179955,-122.407953304738,3
🥐 🥖 Order at Arsicault where everyone can only speak French,"Oui oui baguette et croissant, merci beaucoup Macron 🇫🇷",10,"37.78348500183034, -122.45929256863545",37.78348500183,-122.459292568635,5
Bring Drew/Aivant/Grace something special from a farmer’s market,"Challenge isn’t complete until we recieve it, so come find us!

Bonus points if you cater to our taste preferences:
- Aivant [Spicy, maybe empanadas or something sweeet] 
- Grace [An asian-inspired/fusion pastry or dish would make my day]
- Drew [Something sugar-free, or savory from around the world]",30,"37.78523421123603, -122.51552190772762",37.785234211236,-122.515521907728,3
💥 Have a comedy/rap battle with another team!,Every person on the team has to participate and drop the mic!,20,"37.78549210959605, -122.37890066165568",37.785492109596,-122.378900661656,5
🌱 Tell a plant a story at a community garden,It helps them grow!,10,"37.78563297714189, -122.37334394967628",37.785632977142,-122.373343949676,3
🎙️ Pretend to be a tour guide at Union Square,Did you know Aivant used to be a tour guide? Can you teach someone a fun fact?,10,"37.78792564110184, -122.40752088592126",37.787925641102,-122.407520885921,3
🐩 Pet 3 doggos at Lafayette Park’s Dog Park,Three fluffers! Can you pet them all at once?,10,"37.79123595882644, -122.42732013389444",37.791235958826,-122.427320133894,5
🚗 Stomp on the stairs once destroyed during the filming of “What’s up Doc” in Alta Plaza Park,"https://www.sfchronicle.com/bayarea/article/Whats-Up-Doc-chase-Alta-Plaza-17068539.php#:~:text=The%201972%20movie%20%E2%80%9CWhat's%20Up%2C%20Doc%3F%E2%80%9D%20featured%20a,repaired%20area%20are%20still%20visible",10,"37.79131968209218, -122.43763260405785",37.791319682092,-122.437632604058,3
‼️ Do a “Double it or give it to the next person” at least 3 times in Alta Vist Park,https://www.tiktok.com/@officialjadenwilliams/video/7163742875971341610?lang=en,10,"37.79140477949677, -122.43774633375465",37.791404779497,-122.437746333755,5
🏝️ Bake on Baker Beach,"‘Bake’ is up to interpretation ",20,"37.79195594310864, -122.48453204175104",37.791955943109,-122.484532041751,5
🚊🎤 BartTakes - Ask someone “So what’s their take” while riding Bart,https://www.tiktok.com/@subwaytakes?lang=en,10,"37.79309779475226, -122.49312834874222",37.793097794752,-122.493128348742,5
🏘️ Attend an open house pretending to be a character you are not,"At least 3 team members must go. The more ridiculous the better! ",30,"37.79349445832251, -122.5054498513927",37.793494458323,-122.505449851393,5
🔺 Make a human pyramid in front of the Transamerica Pyramid,"Min n=3 people, extra points if you get n=5 (pull in a stranger or anyone!)",10,"37.79520883339105, -122.40216555432016",37.795208833391,-122.40216555432,5
🚗🎙️ Have a karaoke session in a Waymo,DJ play us some beats! 🎤,10,"37.79530998954233, -122.51974657165252",37.795309989542,-122.519746571653,5
"⛲😈 Be your favorite villain at Vaillancourt fountain ","Do a small scene of your favorite villain in front of the fountain, the scarier the better",20,"37.79544839789741, -122.39533853950346",37.795448397897,-122.395338539503,5
👀 Find Aivant and complete his challenge,Brush up on your whimsy,33,"37.79572091007091, -122.3849625340244",37.795720910071,-122.384962534024,5
"🇲🇽🇵🇭 Take a selfie with Drew’s favorite food truck, Señor Sisig","A popular spot is at Spark Social, or they post their location on insta too we think! Their burritos are 🔥🌯🔥",10,"37.79773140118952, -122.4985182984878",37.79773140119,-122.498518298488,3
📖 Read Howl in the Poetry Room in City Lights Bookstore,https://en.wikipedia.org/wiki/City_Lights_Bookstore#Howl,20,"37.79774575978793, -122.40596684440729",37.797745759788,-122.405966844407,3
🎙️🌌 Cover a song like Yoda,"“Make one, a cover song you will.”",30,"37.79883165272981, -122.45048333695752",37.79883165273,-122.450483336958,5
♣️ Pick blackberries from a bush within 10 feet of a sidewalk,"We’ve had some at Harry Steps, Twin Peaks, and apparently, there’s some in the Presidio",20,"37.79955076265841, -122.48797607586438",37.799550762658,-122.487976075864,5
"🇮🇹 Italian Beatles - Abbey Road in Little Italy ",Re-enact the famous Abbey Road album cover in little Italy,10,"37.80043787527791, -122.40920467704554",37.800437875278,-122.409204677046,5
🪜 Stairstepper challenge with coit tower,"Go up the Filbert steps to Coit Tower. Tough: ≤ 6:30. Hard: ≤ 5:30. Savage: ≤ 4:45. Elite: ≤ 4:00 (this is blistering—think stair-race pace)
",10,"37.80211948222768, -122.40336670164929",37.802119482228,-122.403366701649,5
🛖 Visit Drew’s first apt building in SF,Address is 2925 Van Ness Ave! Video of y’all in the front counts!,10,"37.80273754275728, -122.42520657333635",37.802737542757,-122.425206573336,3
🛫 Pretend you are a plane at Crissy Field,With your team take off and land pretending you are a plane,10,"37.80393886360702, -122.46498665668058",37.803938863607,-122.464986656681,5
😁 Find Drew and answer his riddle,"So think back to your high school cryptography class, this will help you solve my problem regarding quantum tunneling of yubikeys",33,"37.80656421648958, -122.38144605358491",37.80656421649,-122.381446053585,5
🚠 Ride a cable car and ask the operator for a fun fact,Recommended: stand on the ledge (safely!),10,"37.80707114404973, -122.39411874377346",37.80707114405,-122.394118743773,3
🚠 Ride a cable car and spread a fake SF urban legend to a tourist,Recommended: stand on the ledge (safely!),10,"37.80707114404973, -122.39411874377346",37.80707114405,-122.394118743773,5
🐬🦈 Take a dip in the Bay at Aquatic Cove,Bonus points if you film a live animal swimming in the waters!,30,"37.80718382664774, -122.4234480599265",37.807183826648,-122.423448059926,3
✨ Find Grace and complete her challenge,"Could be a two-for-one, for where Grace is her Drew must not be far! ",33,"37.80788792821756, -122.3729823179304",37.807887928218,-122.37298231793,5
🏠 Have everyone impersonate the housemate they are most similar to from the Seymour St house quiz!,seymour.aivant.me,10,"37.80801518944466, -122.48913976140166",37.808015189445,-122.489139761402,5
🎰 Play a game at the Musee Mecanique,The weirder the better — https://museemecanique.com/visit,20,"37.80955799080095, -122.41594694247944",37.809557990801,-122.415946942479,5
"🦭Have a full conversation with the sea lion at Pier 39. ","In their language of course, you must bark",10,"37.81066772415651, -122.41133361399027",37.810667724157,-122.41133361399,3
🏊‍♀️ Re-enact Vertigo into the bay,https://www.youtube.com/watch?v=B8cWjLMuJgo be safe of course!,10,"37.81071034204652, -122.47658599560633",37.810710342047,-122.476585995606,5
🧑‍🔬 Bring coffee/tea to a graduate student/postdoc working in lab today,"Poor thing, they probably really need it! Any university research lab works",30,"37.81080642168783, -122.39721649149863",37.810806421688,-122.397216491499,5
🤵‍♂️ Record a faux insta reel as Daniel Laurie with a small business owner,Be like Sasha https://photos.app.goo.gl/gXaNT9HDeRaReZ3j7,10,"37.81087444248874, -122.48647731264954",37.810874442489,-122.48647731265,5
"💕 Film a meet-cute at one of Grace/Drew’s iconic date spots! (Greens Restaurant, King’s Thai #2, Lao Table, Cafe Europa, Presidio Bowl, Wildseed)","You could make it super cute, satirical, cringey, or imagine how Drew/Grace might’ve met in 2025!",30,"37.81107979902279, -122.45628939775744",37.811079799023,-122.456289397757,5
"🗺️ Make SF strava art ",Spell out something special for Drew and Aivant,30,"37.81183206333765, -122.47118752900937",37.811832063338,-122.471187529009,5
"📬 Send a postcard to 18 Seymour St, San Francisco, CA 94115",Please write a heartwarming message in cursive only!,10,"37.81482765756065, -122.4367542194885",37.814827657561,-122.436754219488,5
🚚 Give us your review on a cybertruck while standing in front of it,"If you see one driving and can’t take a good review video, points will still be given for just capturing a cybertruck out in the wild.",20,"37.81493780236229, -122.43550772178067",37.814937802362,-122.435507721781,5
🏴‍☠️ Check out TreasureFest on Treasure Island,"The best little flea market on the cutest ",50,"37.82688518669865, -122.36283640767564",37.826885186699,-122.362836407676,3
🥰 Hug 3 heart sculptures,"There are many heart sculptures around SF, so it’s up to you to find them!",20,"37.82897624969032, -122.4131424869219",37.82897624969,-122.413142486922,5
🥒🎾 Play a game of pickleball,The location is up to you!,10,"37.82950682304116, -122.39612645986246",37.829506823041,-122.396126459862,3
🦋 Find your favorite merchandise at Mission Blue,Go to Cuz’s (Sevy’s) favorite cafe and revel in the SF goodies,10,"37.712407517751984, -122.40615316807954",37.712407517752,-122.40615316808,5
🥾 Philosophize your way through John McLaren Park,Take Philosophers Trail in McLaren Park sharing your infinite wisdom,10,"37.718135474280416, -122.41263489998511",37.71813547428,-122.412634899985,5
🕸️👮‍♂️📚 Re-enact the Silk Road FBI Arrest at the Glen Park Library,https://www.wired.com/2015/01/silk-road-trial-undercover-dhs-fbi-trap-ross-ulbricht/,40,"37.733881859000775, -122.4337850208429",37.733881859001,-122.433785020843,3
"🎥🎄Do a scene from the Christmas Movie Elf in Holly Park ",,,"37.737193876549846, -122.41992882305053",37.73719387655,-122.419928823051,5
🧔 Hike the Harry Steps,https://www.sfchronicle.com/projects/2022/best-stairways-sf/,10,"37.740125433856875, -122.43118133453673",37.740125433857,-122.431181334537,3
🚽💸 Try out the $1.7 million dollar Noe Valley Toilet,Thankfully it actually was built for less than $1.7 million. Beware that apparently the bathroom isn't very soundproofed 🤣,20,"37.751484417033474, -122.4289910855693",37.751484417033,-122.428991085569,3
🧙‍♂️ Make a Wizard of Oz reference on Kansas St in Potrero Hill,Where are we? Where are we not? Bonus if it’s not the most basic one.,10,"37.754630171202066, -122.40249755163435",37.754630171202,-122.402497551634,3
🐶 Share your favorite thing about Dogpatch in front of Aivant’s old apartment,1128 Tennessee St. until Drew & Grace poached him to come live at the superior Seymour St house of course 😜,10,"37.757234469609934, -122.3893449176628",37.75723446961,-122.389344917663,3
😘 Set Aivant up on a blind date,"We need the stranger to say on video their phone number, date/time, and location pls! ",20,"37.758241496905676, -122.3755124942948",37.758241496906,-122.375512494295,5
🎡 Have a classic day at mission dolores park,"Each member of your team must be doing a different, classic mission dolores activity",10,"37.759605324369666, -122.42741961449101",37.75960532437,-122.427419614491,5
🎨 Pretend to be an art critic for a mural in Clarion Alley,We want a solid backstory for the mural!,10,"37.763020463358856, -122.4205298424404",37.763020463359,-122.42052984244,3
🏊 Do a plunge into the water at Ocean Beach,Aren’t we lucky it’s a nice warm day out today? 🌅,30,"37.766581929668256, -122.5123038584126",37.766581929668,-122.512303858413,3
🩸Sit on the refrigerators outside Genentech Hall,Genentech “Blood Money” Hall - https://www.wired.com/1999/11/genentech-pays-off-ucsf/ 👀,10,"37.767863274854086, -122.39144781031631",37.767863274854,-122.391447810316,3
🌀 Roll down the hill of Koret Quad under the spinning sculpture,"The scultpure is named ‘Catching Dreams’, which is kinda ironic cus academia is mostly the opposite 🥲 https://magazine.ucsf.edu/catching-dreams",10,"37.768215682024994, -122.39145456489518",37.768215682025,-122.391454564895,3
🫧🐉 Blow your own bubbles with Nala,GGP has a new sculpture and is looking for company!,20,"37.771415878967886, -122.47789929421843",37.771415878968,-122.477899294218,5
🕺💃 Dance at Lindy in the Park,"Beginner Lessons are from 12-12:30pm, extra kudos if you record yourself with a stranger dance partner (with their consent of course). All team must dance!",30,"37.772529625370524, -122.46722552714438",37.772529625371,-122.467225527144,3
🏠 Create an architectural digest video at Alamo Square,"You must share your review on a building on each side of the park ",10,"37.776503327094126, -122.43470647852463",37.776503327094,-122.434706478525,3
"Bring something to share at the afterparty! ","Pick one and let us know as soon as possible so we don’t have too many duplicates lol:
1. Bob’s Donuts
2. Pineapple King Buns
3. Beer
4. Spindrift
5. Whatever interesting thing you find! Bonus points if it’s savory rather than sweet",20,"37.779402855651334, -122.43762183667656",37.779402855651,-122.437621836677,3
🪧 Conduct a protest in Civic Center,Get 3 strangers to chant with you!,20,"37.779435951429775, -122.418204603835",37.77943595143,-122.418204603835,5
🏖️ Make sand art (at any beach),The bigger the better,10,"37.781512749568286, -122.51675189520283",37.781512749568,-122.516751895203,5
Make a meme and submit it while outside the Internet Archive,Memes shall be the longlasting artifacts from our digital generation!,20,"37.782307124240106, -122.4717143998557",37.78230712424,-122.471714399856,3
💸 Pitch a startup idea to a stranger at a Blue Bottle Coffee Shop and get feedback,See if you get your first angel investor!,10,"37.782508587389096, -122.39310966045798",37.782508587389,-122.393109660458,5
🛥️ Take an SF Ferry to anywhere,"They leave from the ferry building! Make sure not to get stranded too lol, not that many ferries going around",40,"37.795429395105074, -122.39342355154582",37.795429395105,-122.393423551546,5
🥠 Create a personalized fortune cookie for a friend at the fortune cookie factory,Capture their reaction!,10,"37.795707849481644, -122.40734430938853",37.795707849482,-122.407344309389,3
🏖️🪜 Climb the sand ladder,"Go up not down to claim these points ",30,"37.796554183923035, -122.48101040465068",37.796554183923,-122.481010404651,5
🪑 Communicate via outside Archimedes exhibit at the Exploratorium,This can be accessed without an Exploratorium ticket since it’s publicly accessible on the outside!,30,"37.801044829522574, -122.39882230154194",37.801044829523,-122.398822301542,3
"🕵️ Find Jack Cable and guess his contribution ",Shoutout to Cursor for creating so much ScavHunt code last night lol,33,"37.801354829895985, -122.38252260699488",37.801354829896,-122.382522606995,5
🗼 Take a panorama with your entire team at the base of Coit Tower,"Can you get one team member to be in it twice? ",10,"37.802273470247265, -122.4057329143687",37.802273470247,-122.405732914369,3
🖨️ Visit the little print machine at Patagonia and get a little print,https://www.instagram.com/p/DGwaZ67Sri0/?hl=en,10,"37.805968271950164, -122.41994016581047",37.80596827195,-122.41994016581,5
🚤🚆 Ride the Boat Tram,Ride it while you can this season! https://www.sfgate.com/local/article/ride-san-francisco-boat-tram-for-free-19631810.php,30,"37.806720992619915, -122.49384287483784",37.80672099262,-122.493842874838,3
🔊🫁 Listen to the Wave Organ,"Very confusing cus it’s not at the Exploratorium, right? https://www.exploratorium.edu/visit/wave-organ",10,"37.808508329842034, -122.44011545622395",37.808508329842,-122.440115456224,3
🗣️ Have a conversation with a tourist in not English,"Parlez-vous français, o español, oder Deutsch, 或中文?",10,"37.808677731852406, -122.40969807551774",37.808677731852,-122.409698075518,5
🦜 Take a picture of a wild parrot!,Official animal of SF per the SF Chronicle! Must be a real parrot living its best life in the skies,30,"37.815455552407165, -122.42682649108242",37.815455552407,-122.426826491082,5
💍 Fake a proposal somewhere iconic,At least five strangers have to be present for your proposal,20,"37.817609559577946, -122.40762751079764",37.817609559578,-122.407627510798,5
🌉 Conduct a weather report on the golden gate bridge,Make sure to be loud enough over the winds!,20,"37.818689189283916, -122.47844726755856",37.818689189284,-122.478447267559,3
💨 Carry one person on your team up Hillway Ave from Carl St to Parnassus Ave,Optionally roll them back down the hill and do it all over again 😜,,,,,5
